Name,Revenue million USD,Revenue % change,Profits million USD,Profit % change,Assets million USD,Market value (03-2020) million USD,Number of employees
Exxon Mobil,"$264,938",-8.7%,"$14,340",-31.2%,"$362,597","$160,696.3","74,900"
Chevron,"$146,516",-11.9%,"$2,924",-80.3%,"$237,428","$136,175.9","48,200"
Marathon Petroleum,"$124,813",28.5%,"$2,637",-5.1%,"$98,556","$15,353","60,910"
Phillips 66,"$109,559",-4.1%,"$3,076",-45%,"$58,720","$23,490","14,500"
Valero Energy,"$102,729",-7.8%,"$2,422",-22.4%,"$53,864","$18,531.6","10,222"
Energy Transfer,"$54,213",-0.4%,"$3,592",112%,"$98,880","$12,373.5","12,812"
World Fuel Services,"$36,819",-7.4%,$178.9,40.1%,"$5,992.4","$1,646.9","5,500"
ConocoPhillips,"$36,670",-5.3%,"$7,189",14.9%,"$70,514","$33,167.3","10,400"
Exelon,"$34,438",-4.3%,"$2,936",46.1%,"$124,977","$35,850.4","32,713"
Plains GP Holdings,"$33,669",-1.1%,$331,-0.9%,"$29,969","$1,021.8","5,000"
Enterprise Products Partners,"$32,789.2",-10.3%,"$4,591.3",10%,"$61,733.2","$31,305.9","7,300"
Duke Energy,"$24,658",2.2%,"$3,748",40.6%,"$158,838","$59,368.2","28,793"
PBF Energy,"$24,508.2",-9.9%,$319.4,148.9%,"$9,132.4",$848.1,"3,442"
NGL Energy Partners,"$24,087.8",39.4%,$360,-,"$5,902.5",$333.7,"1,300"
Baker Hughes,"$23,838",4.2%,$128,-34.4%,"$53,369","$10,827.3","68,000"
Halliburton,"$22,408",-6.6%,"$-1,131",-168.3%,"$25,377","$6,027.4","55,000"
Occidental Petroleum,"$21,971",16%,$-667,-116.1%,"$109,330","$10,366.7","14,400"
Southern Company,"$21,419",-8.8%,"$4,739",112.9%,"$118,700","$57,075.9","27,943"
NextEra Energy,"$19,204",14.8%,"$3,769",-43.2%,"$117,691","$117,655","14,800"
HollyFrontier,"$17,486.6",-1.3%,$772.4,-29.7%,"$12,164.8","$3,967.8","4,074"
EOG Resources,"$17,380",0.6%,"$2,734.9",-20%,"$37,124.6","$20,907.4","2,900"
PG&E,"$17,129",2.2%,"$-7,656",-,"$85,196","$4,762.8","23,000"
Dominion Energy,"$16,572",24%,"$1,358",-44.5%,"$103,823","$60,514.9","19,100"
American Electric Power,"$15,561.4",-3.9%,"$1,921.1",-0.1%,"$75,892.3","$39,576.7","17,408"
Freeport-McMoRan,"$14,402",-22.7%,$-239,-109.2%,"$40,809","$9,794.1","27,500"
Kinder Morgan,"$13,209",-6.6%,"$2,190",36.1%,"$74,157","$31,529.7","11,086"
DTE Energy,"$12,669",-10.9%,"$1,169",4.4%,"$41,882","$18,289.5","10,700"
Consolidated Edison,"$12,574",1.9%,"$1,343",-2.8%,"$58,079","$26,034.5","14,890"
Sempra Energy,"$12,443",6.5%,"$2,197",109.4%,"$65,665","$33,037.4","13,969"
Edison International,"$12,347",-2.4%,"$1,284",-,"$64,382","$19,867.6","12,937"
CenterPoint Energy,"$12,301",16.2%,$791,114.9%,"$35,439","$7,765.4","14,262"
Vistra Energy,"$11,809",29.1%,$928,-,"$26,616","$7,795.3","5,475"
Xcel Energy,"$11,529",-0.1%,"$1,372",8.8%,"$50,448","$31,637.5","11,295"
Entergy,"$10,878.7",-1.2%,"$1,241.2",46.3%,"$51,723.9","$18,870.6","13,635"
FirstEnergy,"$10,850",-8.5%,$912,-32.3%,"$42,301","$21,666.4","12,316"
AES,"$10,189",-5.1%,$303,-74.8%,"$33,648","$9,040.8","8,000"
Oneok,"$10,164.4",-19.3%,"$1,278.6",11%,"$21,812.1","$9,014.5","2,882"
Public Service Enterprise Group,"$10,076",3.9%,"$1,693",17.7%,"$47,730","$22,685.3","12,992"
Calpine,"$10,072",5.9%,$770,7600%,"$16,649",-,"2,256"
NRG Energy,"$9,871",-8.6%,"$4,438",1556%,"$12,531","$6,829.8","4,577"
Newmont,"$9,740",34.3%,"$2,805",722.6%,"$39,974","$36,576.6","16,600"
Cheniere Energy,"$9,730",21.8%,$648,37.6%,"$35,492","$8,511.8","1,530"
Pioneer Natural Resources,"$9,304",-1.2%,$756,-22.7%,"$19,067","$11,624.9","2,323"
Delek US Holdings,"$9,298.2",-9.4%,$310.6,-8.7%,"$7,016.3","$1,190.1","3,707"
Targa Resources,"$8,671.1",-17.3%,$-209.2,-13175%,"$18,815.1","$1,610.8","2,680"
Eversource Energy,"$8,526.5",0.9%,$909.1,-12%,"$41,123.9","$25,835.3","8,234"
Chesapeake Energy,"$8,489",-17%,$-308,-135.3%,"$16,193",$337.7,"2,300"
NOV,"$8,479",0.3%,"$-6,095",-,"$13,149","$3,793.9","34,645"
Williams,"$8,201",-5.6%,$850,-,"$46,040","$17,165.7","4,812"
PPL,"$7,769",-0.2%,"$1,746",-4.4%,"$45,680","$18,949.6","12,280"
DCP Midstream,"$7,625",-22.4%,$17,-94.3%,"$14,127",$847.9,"2,250"
