Name,Revenue million USD,Revenue % change,Profits million USD,Profit % change,Assets million USD,Market value (03-2020) million USD,Number of employees
Berkshire Hathaway,"$254,616",2.7%,"$81,417",1924.8%,"$817,729","$442,897.1","391,500"
JPMorgan Chase,"$142,422",8.4%,"$36,431",12.2%,"$2,687,379","$276,750.1","256,981"
Fannie Mae,"$120,304",0.2%,"$14,160",-11.3%,"$3,503,319","$1,841.4","7,500"
Bank of America,"$113,589",2.7%,"$27,430",-2.5%,"$2,434,079","$185,226.9","208,131"
Wells Fargo,"$103,915",2.8%,"$19,549",-12.7%,"$1,927,555","$117,365.7","259,800"
Citigroup,"$103,449",6.5%,"$19,401",7.5%,"$1,951,158","$88,376.5","200,000"
State Farm Insurance,"$79,395.3",-2.9%,"$5,592.7",-36.4%,"$294,823.2",-,"57,672"
Freddie Mac,"$75,125",2.1%,"$7,214",-21.9%,"$2,203,623",$908.7,"6,892"
MetLife,"$69,620",2.5%,"$5,899",15.1%,"$740,463","$27,996.9","49,000"
Prudential Financial (U.S.),"$64,807",2.9%,"$4,186",2.7%,"$896,552","$20,649.7","51,511"
Goldman Sachs Group,"$53,922",2.7%,"$8,466",-19.1%,"$992,968","$55,416.7","38,300"
Morgan Stanley,"$53,823",7.2%,"$9,042",3.4%,"$895,429","$52,101.5","60,431"
American International Group,"$49,746",5%,"$3,348",-,"$525,064","$20,886.3","46,000"
American Express,"$47,020",8.6%,"$6,759",-2.3%,"$198,321","$68,982.7","64,500"
Allstate,"$44,675",12.2%,"$4,847",115.2%,"$119,950","$29,070.5","46,035"
New York Life Insurance,"$44,116.6",1.6%,"$1,003.8",14.1%,"$330,806.3",-,"11,519"
Nationwide,"$43,982",1.6%,$829.7,61.9%,"$239,539.6",-,"28,114"
Liberty Mutual Insurance Group,"$43,228",1.3%,"$1,044",-51.7%,"$133,644",-,"45,000"
TIAA,"$40,454.4",-1.5%,"$2,460.1",57.6%,"$615,042.3",-,"16,533"
Progressive,"$39,022.3",22%,"$3,970.3",51.8%,"$54,895.3","$43,218.4","41,571"
Massachusetts Mutual Life,"$37,253.4",-5.1%,"$3,700.7",830.1%,"$290,730.7",-,"9,896"
USAA,"$35,617.4",13.5%,"$4,006.3",74.8%,"$173,732.6",-,"35,076"
Capital One Financial,"$33,766",4.3%,"$5,546",-7.8%,"$390,365","$23,063.2","51,900"
StoneX Group,"$32,897",19.1%,$85.1,53.3%,"$9,936.1",$699.9,"2,012"
Northwestern Mutual,"$32,293.6",10.9%,"$1,268",61.9%,"$290,318",-,"5,964"
